"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
28780,2,4,2.100,85.2
28935,0,4,5.500,59.8
28936,1,3,4.8,46.5
29216,1,3,1.9,73.5
29307,0,6,4.2,85.8
29393,1,8,2.1,163.0
29697,1,3,1.2,57.6
29732,0,4,4.800,51.1
29863,1,2,1.600,41.6
30332,0,0,"",0.0
30479,1,5,1.700,96.4
30684,0,6,0.700,98.5
30692,0,5,3.100,116.0
30773,2,6,2.200,86.5
30856,0,1,"",17.1
30859,0,5,6.000,85.1
31070,1,5,3.200,72.9
31099,1,3,1.200,53.9
31200,0,6,3.300,106.0
31645,0,5,1.700,58.6
31677,0,2,4.500,29.5
31899,2,3,"",53.9
31957,0,7,4.800,88.8
32154,1,1,3.2,29.1
32184,0,6,3.500,90.5
32490,1,3,1.2,41.6
32518,0,2,6.9,12.5
32739,0,4,3.100,75.8
32872,1,6,4.100,88.9
32921,1,7,0.8,86.4
33257,2,4,-1.5,89.6
33294,0,4,3.200,60.8
33360,0,5,2.7,70.2
33443,2,6,3.200,72.0
33528,0,2,3.5,45.6
33565,2,4,2.8,64.7
33775,1,6,2.300,44.7
34192,0,2,3.400,45.6
34313,1,2,3.0,42.2
34468,1,9,3.2,121.0
34526,0,7,4.200,88.8
34766,1,3,1.900,63.6
35699,2,2,0.8,61.4
35970,0,4,1.2,79.1
36242,0,2,3.000,37.4
36250,0,4,4.600,64.3
36324,0,2,5.500,28.0
36565,1,5,5.1,104.0
36584,2,6,3.100,72.0
36606,0,5,5.600,94.9
36679,1,1,2.900,32.3
36867,0,2,3.400,45.6
36870,0,4,4.900,75.8
36879,1,4,1.2,76.0
37123,2,4,3.900,58.2
37125,0,5,4.900,101.0
37175,0,2,3.800,27.0
37419,1,6,4.7,108.0
37517,1,3,3.100,69.7
37523,0,2,4.400,45.6
37829,0,1,2.4,20.3
37869,1,8,3.3,97.1
37995,0,7,3.200,94.8
38235,1,4,2.2,76.0
38479,1,5,5.200,104.0
